ID,Title,Category,Date,Word Count,Thin Flag,Template Header Flag,Unverifiable Expert Flag,Unsourced Statistic Flag,Flags Triggered,Experts Found,Stats Count,Unsourced Stats Count
art-mqmgzv0r-p9vu0,Opinion: Asia Doesn't Need More Loans—It Needs Better Debt Negotiation,Opinion,2026-06-20T14:45:53.739Z,817,FALSE,FALSE,FALSE,TRUE,1,Asian Development Bank Institute (HasInst: true),1,1
art-mqnvofjm-r6x0w,Why Australia's First H5N1 Case Could Become Asia's Next Food Security Challenge,APAC,2026-06-21T14:24:40.882Z,709,FALSE,FALSE,FALSE,TRUE,1,,1,1
art-mqnw0wtg-ctfdt,"Oil Prices Are Falling, But Asia's Economy Is Not Out of Danger Yet",Economy,2026-06-21T14:34:23.140Z,722,FALSE,FALSE,FALSE,TRUE,1,,1,1
art-mqnxhs9r-auanh,Asia's $431 Billion Opportunity: Why Climate Investment Could Be More Profitable Than Debt Relief,Economy,2026-06-21T15:15:30.015Z,733,FALSE,FALSE,FALSE,TRUE,1,Asian Development Bank Institute (HasInst: true),2,2
art-mqnzjj7y-11yff,Why Fans Blamed BLACKPINK for South Korea's World Cup Loss ,Sport,2026-06-21T16:12:50.831Z,670,FALSE,FALSE,TRUE,FALSE,1,Following South Korea (HasInst: false) | Why Fans Look (HasInst: false) | In South Korea (HasInst: false) | North America (HasInst: false),0,0
art-mqon6arp-scth3,Southeast Asia's Data Center Boom Is Creating a New Economic Race,APAC,2026-06-22T03:14:24.133Z,808,FALSE,FALSE,FALSE,TRUE,1,,3,3
art-mqoo3jxa-q98nb,Can Indonesia Become ASEAN's Electric Vehicle Leader? The Race Is Getting More Competitive,APAC,2026-06-22T03:40:15.646Z,750,FALSE,FALSE,FALSE,TRUE,1,,1,1
art-mqq4q9se-azolf,Cristiano Ronaldo's Last World Cup Mission May Define His Entire Legacy,Sport,2026-06-23T04:13:35.630Z,751,FALSE,FALSE,TRUE,FALSE,1,The Portuguese (HasInst: false) | Roberto Martinez (HasInst: false) | Golden Generation (HasInst: false),0,0
art-mqq51a5g-e8oan,The Iran War Isn't Over: Why Asia's Economy Is Still at Risk,Economy,2026-06-23T04:22:09.316Z,789,FALSE,FALSE,FALSE,TRUE,1,,1,1
art-mqtael0b-lvgdv,The AI Boom Has Created a New King of Chips—And It's Not Just Nvidia,Explainer,2026-06-25T09:15:46.523Z,731,FALSE,FALSE,FALSE,TRUE,1,,1,1
art-mqurhtdr-mgy07,Why India Could Become Asia's Biggest AI Infrastructure Hub,APAC,2026-06-26T10:01:56.991Z,739,FALSE,FALSE,FALSE,TRUE,1,,2,2
art-mquttbk1-e65bi,The $15 Billion World Cup: How FIFA Turned Football Into One of the World's Biggest Businesses,Sport,2026-06-26T11:06:52.994Z,579,FALSE,FALSE,FALSE,TRUE,1,,1,1
art-mqv14gcr-cdhwh,Beyond the Disaster: Could Venezuela's Earthquake Shake Global Oil Markets?,Opinion,2026-06-26T14:31:29.739Z,469,TRUE,FALSE,FALSE,FALSE,1,,0,0
art-mqwiiiw1-ixylv,The Cost of Love: Why Housing Is Quietly Reshaping Relationships Across Asia,Explainer,2026-06-27T15:26:05.857Z,653,FALSE,FALSE,TRUE,FALSE,1,The Rise (HasInst: false) | Financial Compatibility (HasInst: false),0,0
art-mqxzkfjd-af49s,Playing Bad on Purpose? Why the Most Dangerous World Cup Teams Aren't Always the Best in the Group Stage,Sport,2026-06-28T16:11:14.473Z,563,FALSE,FALSE,TRUE,FALSE,1,Slow Starter (HasInst: false),0,0
art-mr0xipk4-8ey97,Everyone Is Chasing AI Stocks. The Smart Money Is Building the Roads Instead,Finance,2026-06-30T17:37:13.444Z,868,FALSE,TRUE,FALSE,FALSE,1,,0,0
art-mr1jo8gl-y1d5i,"Cheap Fuel, Expensive Future? Malaysia's Diesel Subsidy Sparks a Bigger Economic Debate",Economy,2026-07-01T03:57:22.773Z,692,FALSE,FALSE,FALSE,TRUE,1,,1,1
art-mradc2fw-x45gp,Divergent Monetary Policies and Fiscal Pressures Fracture APAC Capital Markets,APAC,2026-07-07T08:09:52.988Z,696,FALSE,FALSE,TRUE,FALSE,1,Clara Vance (HasInst: false) | Southeast Asia (HasInst: false),0,0
art-mrbnvpll-k15qf,The Great Escape: How Argentina Survived the Pharaonic Panic of Atlanta and the Infantino Meme Apocalypse,Sport,2026-07-08T05:52:51.801Z,1197,FALSE,FALSE,TRUE,FALSE,1,The Shock Opener (HasInst: false) | Yasser Ibrahim (HasInst: false) | Lisandro Mart (HasInst: false) | Lionel Scaloni (HasInst: false) | Hossam Hassan (HasInst: false) | Alexi Lalas (HasInst: false),0,0
art-mrioam46-40aq7,The Battle for South Carolina: How Lindsey Graham’s Passing Reshapes the 2026 Senate Elections,Opinion,2026-07-13T03:38:50.358Z,647,FALSE,FALSE,TRUE,FALSE,1,America First (HasInst: false),0,0
art-mrkpiq3g-z0mma,China Trade Surplus Record: June Exports Surge 27% on Global AI Hardware Boom,Economy,2026-07-14T13:48:40.733Z,1026,FALSE,FALSE,FALSE,TRUE,1,World Trade Organization (HasInst: true) | Gavekal Dragonomics (HasInst: true) | Wei Li (HasInst: true) | Asset Investments (HasInst: true) | Paribas Securities (HasInst: true),7,6
art-mqics6or-qoek0,Messi vs Ronaldo: Comparing Their Final FIFA World Cup Performances and Lasting Legacy,Sport,2026-06-17T17:36:52.444Z,533,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqiygoym-oi05l,Beyond the SEA Games: How Southeast Asia is Re-Engineering Elite Sports for the Global Stage,Sport,2026-06-18T03:43:47.806Z,552,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqiyzh4x-9g5pb,Global Oil and Gas Market Faces New Uncertainty as APAC Economies Prepare for Rising Energy Costs,APAC,2026-06-18T03:58:24.129Z,680,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqj1t53k-970ax,APAC Financial Markets on Alert as Global Interest Rate Outlook Reshapes Investment Strategy,Finance,2026-06-18T05:17:27.440Z,655,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqj3lq3n-setni,"England Sends a World Cup Statement: More Than Harry Kane's Goals, a New Era of Attacking Football Begins",Sport,2026-06-18T06:07:40.643Z,576,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqjq97wh-xjejm,Why Trump's Iran Deal Could Be the Biggest Economic Turning Point of 2026 for Asia,APAC,2026-06-18T16:41:48.353Z,573,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqks7w01-uz0ol,Indonesia Expands Free Meal Probe as Governance Faces New Test,Economy,2026-06-19T10:24:31.681Z,746,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqkvdi8m-e93ar,Cambodia's Political Stability Faces Fresh Test as Court Ruling Draws Regional Attention,APAC,2026-06-19T11:52:52.630Z,594,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mql3wg97-d72az,Ai Ogura Sends Strong Statement at Brno as Asia's MotoGP Momentum Grows,Sport,2026-06-19T15:51:33.451Z,678,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqlxvt7q-8h3sj,Australia's World Cup Defeat Reveals the New Standard of Global Football,Sport,2026-06-20T05:50:52.070Z,725,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqnvxyp1-3m876,Extreme Heat Is Becoming Football's Biggest Opponent at the 2026 World Cup,Sport,2026-06-21T14:32:05.605Z,644,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqopkiep-urlzv,The Return of Inflation: Why Asia's Central Banks Are Staying Cautious,Economy,2026-06-22T04:21:26.449Z,753,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqp2qr8n-tat3n,Why Asian Athletes Are Becoming Global Sports Brands Worth Billions,Sport,2026-06-22T10:30:12.840Z,737,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqq4ym33-o9cnk,Why Everyone Is Suddenly Talking About the Strait of Hormuz,APAC,2026-06-23T04:20:04.815Z,767,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqq5pe0f-tw9pa,Drowning in Debt? Thousands Across Asia Recovered—Here's How They Did It,Opinion,2026-06-23T04:40:54.063Z,814,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqqd3jbi-6xwxz,Why Indonesian Homeowners May Face Higher Mortgage Costs After BI's Rate Hikes,Finance,2026-06-23T08:07:51.438Z,797,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqqi4js1-vc5f9,Vietnam's AI Law Gives It a Head Start in Southeast Asia's Tech Race,Economy,2026-06-23T10:28:36.769Z,973,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqrks79c-jt92i,Can Politics Decide a World Cup? Iran's Travel Drama Sparks Debate,Sport,2026-06-24T04:30:45.696Z,840,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqrmic45-ceu4a,Buried in Debt? The 90-Day Strategy That Helped Borrowers Recover,Finance,2026-06-24T05:19:04.662Z,889,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqs5dzpq-05iha,The AI Boom Is Creating a New Data Center Race Across Asia,APAC,2026-06-24T14:07:34.670Z,696,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqs5jpme-5of7g,The AI Gold Rush Is Creating Asia's Next Energy Crisis,APAC,2026-06-24T14:12:01.527Z,646,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqtb71a5-o30yp,Why Retail Investors Keep Buying at the Worst Possible Time,Finance,2026-06-25T09:37:53.981Z,726,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqus2nwu-7wnvm,"The Next AI War Isn't About Chips, It's About Cooling",APAC,2026-06-26T10:18:09.678Z,646,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqv3pzv7-5fl3n,Jakarta at 499: Can Indonesia's Capital Still Compete as Southeast Asia's Business Hub?,APAC,2026-06-26T15:44:14.035Z,721,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqw2nw4o-tnibx,World Cup 2026 Power Rankings: The 7 Teams Most Likely to Lift the Trophy,Sport,2026-06-27T08:02:22.440Z,661,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqw2v62n-rbqja,APAC Investment Outlook 2026: The 7 Best Countries for Long-Term Growth,Finance,2026-06-27T08:08:01.919Z,572,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqxft16w-4i03e,Will Cash Become Obsolete? China's New Payment Push Could Change Travel Forever,Economy,2026-06-28T06:58:03.466Z,633,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mqxyqbmq-k21kr,The Hidden Billionaires Behind the AI Revolution: Why Infrastructure Is the Real Gold Rush,Economy,2026-06-28T15:47:49.730Z,812,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mr019z6f-m8fn9,The Economic Paradox: Why Good News Is Suddenly Bad News for Global Markets,Finance,2026-06-30T02:34:38.298Z,527,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mr0x94jn-9rcx3,Too Hot to Win? Europe's Extreme Heat Could Become Football's Biggest Opponent,Opinion,2026-06-30T17:29:46.308Z,576,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mr1nl201-7wd9t,The $300 Million Athlete: Why Modern Football Stars Are Becoming Billion-Dollar Businesses,Economy,2026-07-01T05:46:52.897Z,569,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mredezs5-zpp0p,China’s South Pacific SLBM Test Signals Major Shift to Continuous At-Sea Deterrence,APAC,2026-07-10T03:23:14.213Z,769,FALSE,FALSE,FALSE,FALSE,0,In Australia (HasInst: true) | Prime Minister Anthony Albanese (HasInst: true) | Australian Foreign Minister Penny Wong (HasInst: true),0,0
art-mrkpdt7a-iyths,The Chrysanthemum Paradox: How Japan's Dynastic Survival Bill Exposes a Deep Structural Governance Divide,APAC,2026-07-14T13:44:51.478Z,803,FALSE,FALSE,FALSE,FALSE,0,East Asian (HasInst: true) | The Emperor (HasInst: true) | Southeast Asia (HasInst: true),0,0
art-mrkv6koq-oywyc,The Yen Reversal: How Japan's Monetary Shift is Triggering an ASEAN Corporate Credit Squeeze,Finance,2026-07-14T16:27:11.546Z,551,FALSE,FALSE,FALSE,FALSE,0,,0,0
art-mrlvycae-uibmn,The S&P固定 Illusion: Why Stable Credit Ratings Mask Indonesia's Deep Domestic Margin Squeeze,Finance,2026-07-15T09:36:33.206Z,531,FALSE,FALSE,FALSE,FALSE,0,,0,0
