ID,Title,Category,Date,Word Count,Thin Flag,Template Flag,Generic Topic Flag,Unverifiable Expert Flag,Unverifiable Experts,Stat Count,Unsourced Stat Count,Unsourced Statistic Flag,Fake Author Flag,Has Pending Draft,Cluster Count,Cluster IDs,Recommendation
art-mqxzkfjd-af49s,Playing Bad on Purpose? Why the Most Dangerous World Cup Teams Aren't Always the Best in the Group Stage,Sport,2026-06-28T16:11:14.473Z,563,false,false,false,false,,0,0,false,true,false,0,,keep
art-mr019z6f-m8fn9,The Economic Paradox: Why Good News Is Suddenly Bad News for Global Markets,Finance,2026-06-30T02:34:38.298Z,527,false,false,false,false,,0,0,false,true,false,0,,keep
art-mr0x94jn-9rcx3,Too Hot to Win? Europe's Extreme Heat Could Become Football's Biggest Opponent,Opinion,2026-06-30T17:29:46.308Z,576,false,false,false,false,,0,0,false,true,false,0,,keep
art-mr0xipk4-8ey97,Everyone Is Chasing AI Stocks. The Smart Money Is Building the Roads Instead,Finance,2026-06-30T17:37:13.444Z,868,false,true,false,false,,0,0,false,true,false,0,,rewrite
art-mr1jo8gl-y1d5i,"Cheap Fuel, Expensive Future? Malaysia's Diesel Subsidy Sparks a Bigger Economic Debate",Economy,2026-07-01T03:57:22.773Z,692,false,false,false,false,,1,1,true,true,false,0,,verify_sources_before_keep
art-mr1nl201-7wd9t,The $300 Million Athlete: Why Modern Football Stars Are Becoming Billion-Dollar Businesses,Economy,2026-07-01T05:46:52.897Z,569,false,false,false,false,,0,0,false,true,false,0,,keep
art-mr37e9sq-3w8z9,Miles Guo and the Architecture of Deception: How a Billion-Dollar Fraud Exploited Political Exile,Economy,2026-07-02T07:49:14.907Z,676,false,false,false,false,,6,4,true,true,false,0,,verify_sources_before_keep
art-mr38awha-z015q,The Invisible Anchor: How Modern Debt Structures Trap the Middle Class,APAC,2026-07-02T08:14:37.294Z,751,false,false,false,true,As(NO-SRC),11,10,true,true,false,0,,verify_sources_before_keep
art-mr3a6fg2-1gvdo,A Controversial Dismissal: How the USMNT’s Tactical Evolution Collided with VAR Inconsistency,Sport,2026-07-02T09:07:07.827Z,657,false,false,false,false,,0,0,false,true,false,0,,keep
art-mr5oy74k-1bda4,The Great Token Devaluation: How Asia’s Price War Is Redefining Global AI Infrastructure,APAC,2026-07-04T01:36:10.388Z,675,false,false,false,false,,6,5,true,true,false,0,,verify_sources_before_keep
art-mr5uwbv1-1xoo2,The Narrow Escape: How Cabo Verde’s Tactical Resilience Exposed Argentina’s Vulnerabilities,Sport,2026-07-04T04:22:40.909Z,595,false,true,false,false,,5,3,true,true,false,0,,verify_sources_before_keep
art-mr8v4k7m-i2ewc,The Rise of the Digital Proxy: How Algorithmic Overemployment is Reshaping the Modern Workplace,APAC,2026-07-06T06:52:23.506Z,678,false,false,false,false,,3,2,true,true,false,0,,verify_sources_before_keep
art-mr96lizx-9kigs,Indonesia’s Pivot to Resource Sovereignty and the Rise of the Danantara Framework,Economy,2026-07-06T12:13:30.862Z,588,false,false,false,false,,3,2,true,true,false,0,,verify_sources_before_keep
art-mradc2fw-x45gp,Divergent Monetary Policies and Fiscal Pressures Fracture APAC Capital Markets,APAC,2026-07-07T08:09:52.988Z,696,false,false,false,false,,6,4,true,true,false,0,,verify_sources_before_keep
art-mrbnvpll-k15qf,The Great Escape: How Argentina Survived the Pharaonic Panic of Atlanta and the Infantino Meme Apocalypse,Sport,2026-07-08T05:52:51.801Z,1197,false,true,false,false,,4,4,true,true,false,0,,verify_sources_before_keep
art-mrbvgk8a-5qk03,The Metaphysical Pivot: How China’s Youth Are Redefining Luxury Through Spiritual Consumption,APAC,2026-07-08T09:25:01.930Z,704,false,false,false,false,,4,3,true,true,false,0,,verify_sources_before_keep
art-mrd0x2kh-sdwcm,The End of the Web Portal: Why Enterprise Brands Are Dismantling Their Digital Palaces,Finance,2026-07-09T04:45:36.449Z,577,false,false,false,false,,5,5,true,true,false,0,,verify_sources_before_keep
art-mredezs5-zpp0p,China’s South Pacific SLBM Test Signals Major Shift to Continuous At-Sea Deterrence,APAC,2026-07-10T03:23:14.213Z,769,false,false,false,true,Morris(NO-SRC),0,0,false,true,false,0,,verify_sources_before_keep
art-mrioam46-40aq7,The Battle for South Carolina: How Lindsey Graham’s Passing Reshapes the 2026 Senate Elections,Opinion,2026-07-13T03:38:50.358Z,647,false,false,false,false,,0,0,false,true,false,0,,keep
art-mriouuvb-6tk3y,The Guzi Revolution: How Collectible Culture is Reshaping Asian Retail Real Estate,Explainer,2026-07-13T03:54:34.823Z,613,false,false,false,false,,7,4,true,true,false,0,,verify_sources_before_keep
art-mrkpdt7a-iyths,The Chrysanthemum Paradox: How Japan's Dynastic Survival Bill Exposes a Deep Structural Governance Divide,APAC,2026-07-14T13:44:51.478Z,803,false,false,false,false,,0,0,false,true,false,0,,keep
art-mrkpiq3g-z0mma,China Trade Surplus Record: June Exports Surge 27% on Global AI Hardware Boom,Economy,2026-07-14T13:48:40.733Z,1007,false,false,false,false,,9,7,true,true,false,0,,verify_sources_before_keep
art-mrkv6koq-oywyc,The Yen Reversal: How Japan's Monetary Shift is Triggering an ASEAN Corporate Credit Squeeze,Finance,2026-07-14T16:27:11.546Z,551,false,false,false,false,,1,0,false,true,false,0,,keep
art-mrlvycae-uibmn,The S&P固定 Illusion: Why Stable Credit Ratings Mask Indonesia's Deep Domestic Margin Squeeze,Finance,2026-07-15T09:36:33.206Z,531,false,false,false,false,,6,5,true,true,false,0,,verify_sources_before_keep
