ID,Title,Category,Word Count,Thin Flag,Template Flag,Oversaturated Topic Flag,Quotes Found Count,Needs Verification,Fake Author,Cluster Count,Cluster IDs
art-mqqd3jbi-6xwxz,Why Indonesian Homeowners May Face Higher Mortgage Costs After BI's Rate Hikes,Finance,797,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqqi4js1-vc5f9,Vietnam's AI Law Gives It a Head Start in Southeast Asia's Tech Race,Economy,973,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqrks79c-jt92i,Can Politics Decide a World Cup? Iran's Travel Drama Sparks Debate,Sport,840,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqrmic45-ceu4a,Buried in Debt? The 90-Day Strategy That Helped Borrowers Recover,Finance,889,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqs5dzpq-05iha,The AI Boom Is Creating a New Data Center Race Across Asia,APAC,696,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqs5jpme-5of7g,The AI Gold Rush Is Creating Asia's Next Energy Crisis,APAC,646,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqtael0b-lvgdv,The AI Boom Has Created a New King of Chips—And It's Not Just Nvidia,Explainer,731,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqtb71a5-o30yp,Why Retail Investors Keep Buying at the Worst Possible Time,Finance,726,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqurhtdr-mgy07,Why India Could Become Asia's Biggest AI Infrastructure Hub,APAC,739,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqus2nwu-7wnvm,"The Next AI War Isn't About Chips, It's About Cooling",APAC,646,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mquttbk1-e65bi,The $15 Billion World Cup: How FIFA Turned Football Into One of the World's Biggest Businesses,Sport,579,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqv14gcr-cdhwh,Beyond the Disaster: Could Venezuela's Earthquake Shake Global Oil Markets?,Opinion,469,TRUE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqv3pzv7-5fl3n,Jakarta at 499: Can Indonesia's Capital Still Compete as Southeast Asia's Business Hub?,APAC,721,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqw2nw4o-tnibx,World Cup 2026 Power Rankings: The 7 Teams Most Likely to Lift the Trophy,Sport,661,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqw2v62n-rbqja,APAC Investment Outlook 2026: The 7 Best Countries for Long-Term Growth,Finance,572,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqwiiiw1-ixylv,The Cost of Love: Why Housing Is Quietly Reshaping Relationships Across Asia,Explainer,653,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mqxft16w-4i03e,Will Cash Become Obsolete? China's New Payment Push Could Change Travel Forever,Economy,633,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqxyqbmq-k21kr,The Hidden Billionaires Behind the AI Revolution: Why Infrastructure Is the Real Gold Rush,Economy,812,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mqxzkfjd-af49s,Playing Bad on Purpose? Why the Most Dangerous World Cup Teams Aren't Always the Best in the Group Stage,Sport,563,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mr019z6f-m8fn9,The Economic Paradox: Why Good News Is Suddenly Bad News for Global Markets,Finance,527,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mr0x94jn-9rcx3,Too Hot to Win? Europe's Extreme Heat Could Become Football's Biggest Opponent,Opinion,576,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mr0xipk4-8ey97,Everyone Is Chasing AI Stocks. The Smart Money Is Building the Roads Instead,Finance,868,FALSE,TRUE,FALSE,2,TRUE,TRUE,0,
art-mr1jo8gl-y1d5i,"Cheap Fuel, Expensive Future? Malaysia's Diesel Subsidy Sparks a Bigger Economic Debate",Economy,692,FALSE,FALSE,FALSE,0,FALSE,TRUE,0,
art-mr1nl201-7wd9t,The $300 Million Athlete: Why Modern Football Stars Are Becoming Billion-Dollar Businesses,Economy,569,FALSE,FALSE,FALSE,1,TRUE,TRUE,0,
art-mr37e9sq-3w8z9,The Dissident Cult: How Miles Guo Monetized Political Trauma into a Billion-Dollar Shadow Empire,Economy,1111,FALSE,TRUE,FALSE,0,FALSE,TRUE,0,
art-mr38awha-z015q,The Debt Trap Exit: A Strategic Blueprint to Escape Elevated Personal Loans in a High-Interest Era,APAC,1129,FALSE,TRUE,FALSE,1,TRUE,TRUE,0,
art-mr3a6fg2-1gvdo,The Double-Standard Deficit: Why Folarin Balogun’s World Cup Red Card Exposes VAR’s Elite Bias,Sport,1113,FALSE,TRUE,FALSE,1,TRUE,TRUE,0,
art-mr5oy74k-1bda4,The Commodity Compute Race: How China’s Cheap AI Tokens Are Reshaping Asian Business Architecture,APAC,973,FALSE,TRUE,FALSE,0,FALSE,TRUE,0,
art-mr5uwbv1-1xoo2,The Asymmetric Pitch: How Cabo Verde Exposed the Structural Flaws of Football’s Elite Gilded Class,Sport,1041,FALSE,FALSE,FALSE,2,TRUE,TRUE,0,
art-mr8v4k7m-i2ewc,The Ghost in the Cubicle: How Autonomous 'AI Twins' Are Fueling a Corporate Multi-Employment Epidemic,APAC,1067,FALSE,TRUE,FALSE,0,FALSE,TRUE,0,
art-mr96lizx-9kigs,The 'Indonesia Incorporated' Doctrine: How Jakarta’s Resource Nationalism is Rewriting the APAC Supply Chain,Economy,992,FALSE,TRUE,FALSE,1,TRUE,TRUE,0,
art-mradc2fw-x45gp,The Yield Fracture: How Sovereign Credit Pressure and Rate Divergence Are Unbalancing APAC Capital Markets,APAC,1045,FALSE,TRUE,FALSE,0,FALSE,TRUE,0,
art-mrbnvpll-k15qf,The Great Escape: How Argentina Survived the Pharaonic Panic of Atlanta and the Infantino Meme Apocalypse,Sport,1197,FALSE,TRUE,FALSE,1,TRUE,TRUE,0,
art-mrbvgk8a-5qk03,The 'Xuanxue' Arbitrage: How China's Youth Are Trading Conspicuous Luxury for Metaphysical Solace,APAC,821,FALSE,TRUE,FALSE,0,FALSE,TRUE,0,
art-mrd0x2kh-sdwcm,The Death of the Dot-Com: How Consumer Brands Are Abandoning Sprawling Websites for Single-Interface Conversational Hubs,Finance,1051,FALSE,TRUE,FALSE,1,TRUE,TRUE,0,
art-mredezs5-zpp0p,China's Submarine Ballistic Missile Test: Inside the Historic South Pacific SLBM Launch,APAC,1088,FALSE,TRUE,FALSE,0,FALSE,TRUE,0,
art-mrioam46-40aq7,The Battle for South Carolina: How Lindsey Graham’s Death Impacts the 2026 Senate Elections,Opinion,945,FALSE,TRUE,FALSE,0,FALSE,TRUE,0,
art-mriouuvb-6tk3y,The Plastic Dopamine Loop: How the 168-Billion-Yuan 'Guzi' Economy is Saving Asian Shopping Malls,Explainer,1072,FALSE,TRUE,FALSE,1,TRUE,TRUE,0,
art-mrkpdt7a-iyths,The Chrysanthemum Paradox: How Japan's Dynastic Survival Bill Exposes a Deep Structural Governance Divide,APAC,1162,FALSE,TRUE,FALSE,0,FALSE,TRUE,0,
art-mrkpiq3g-z0mma,China Trade Surplus Record: June Exports Surge 27% on Global AI Hardware Boom,Economy,1026,FALSE,TRUE,FALSE,1,TRUE,TRUE,0,
art-mrkv6koq-oywyc,The Yen Reversal: How Japan's Monetary Shift is Triggering an ASEAN Corporate Credit Squeeze,Finance,410,TRUE,FALSE,FALSE,0,FALSE,TRUE,0,
